LITERATURE-	SHORT STORY AND Novel	
A
antagonist character	ተፃራሪ ገፀ ባህሪ
a posteriori	ከዉጤት ወደ ምክንያት
a priori 	ከምክንያት ወደ ዉጤት
C	
cause &effect	መንሰዔና ዉጤት
central theme	ማዕከላዊ ጭብጥ
chapter	ምዕራፍ
character	ገፀ-ባሕሪያት
characteristic	መለያ ባሕሪያት
classical literature	ብሉይ ሥነ-ጽሑፍ
climax	ጡዘት
complex	ጽምረት፤ ግጥምጥምነት
coherence	ትውስብ
conflict	ግጭት
consequence	ክትያ
conviction	ቅብልነት
D	
descriptive	ገላጭ
detective  story	የስለላ ድርሰት
developing character	ታዳጊ ገፀ-ባሕሪይ
dialogue	ምልልሰ
dime novel	ቤሳ ልቦለድ
dinoument	የሴራው መቋጫ
direct characterization	ርቱዕ ገፀ-ባሕሪ አሳሳል
dominant characteristic	ውልኛ ባሕሪይ
dramatic characterization	ተውኔታዊ ገፀ ባሕሪይ አሳሳል
dramatic monologue	ተውኔታዊ ስለኔ አንጋር
dramatic point of view	ተውኔታዊ አንፃር
dynamic character	ልውጤ ገፀ ባሕሪይ
E	
effect to cause	እንዲህ-ስለዚህ
effect to effect	እንጥብጣብ
element	አላባ
elements of the novel	የልቦለድ አላባውያን
epilogue	ቅጣይ
episode	ክፍል፤ድርጊት
episode	ሁነት
event, happening, incident	አጋጣሚ፤ድርሰ (ሰ.መ)
expository characterization	መሰታየት ገፀ ባሕሪያት አሳሳል
external conflict	ውጨያዊ  ግጭት
F	
falling action	የድረጊት መውደቅ
fantasy	ትንግርት
fiction	ልቦለድ
first person point of view	አንደኛ መደብ አንፃር
flashback	ምልስት
flat, Stock character	አሰተኔ ገፀ-ባሕሪይ
flashadowing	ንግድ
G	
genre	ዘውግ፤ ፃታ (ሥነ-ጽሑፋዊ)
H	
historical novel	ታሪካዊ ልቦለድ
horizontal narrative technique	ልደት-ሞቴ ያተራረክ ዘዴ
I	
idiomatic expression	ምሳሌያዊ አነጋገር
indirect characterization	ኢ-ርቱዕ ገፀባሕሪ አሳሳል
inner setting	አእምሩዊና ልቦናዊ ደጀን
internal conflict	ውስጣዊ ግጭት
internal conflict	እውቂያ
introduction, exposition	ፌዛዊ ደጀን
ironic setting	
L	
language	ቋንቋ
limited omniscient p.o.view	ሁሱን ሁሉል አወቅ አንፃር
literary language	ሥነ-ጽሑፋዊ ቋንቋ
LITERATURE-	ሥነ -ጽሑፍ
local color	አካባቢያዊ
M	
minor characters	ንዑሳን ገፀ-ባሕሪያት
mood	ሀድራ
motif	ታላሚ ጭብጥ
motivation	ሰበበ ድርጊት
N	
narrative story	ተራኪ ድርሰት
barrater as a character	ተራኪ ገፀ-ባሕሪይ
novel	ረዥም ልቦለድ
novelist	የለዥም ልቦለድ ደራሲ
novella	ኖቬላ፤አጭር ተራኪ ድርሰት
novelette	ኖቬሌት፤ዘለግተኛ ምጥን ልቦለድ
O	
objective point of view	የእጅነጅ አንጠፃር
omniscient point of view	ሁሉን አወቅ አንፃር
outlook	ምልከታ
P	
paragraph	አንቀጽ
pathos	ሰሜታ
perception	ግንዛቤ፤ ልባዌ
place and time	ስፍራና ጊዜ
plot	ሴራ - አጭመ ታሪክ
point of view	አንጻር - ትልመ- ትረካ
prose	ስድ ጽሑፍ
protagonist, Hero	ዋናው ገፀባሕሪይ - አቀንቃኝ
R	
reader	አንባቢ
reshuffle	የቀድሞ ሥራን ማሻሻል
reflection	ነፀብራቅ 
renaissance literature	የዘመነ -ተሃድሶ ሥነ -ጽሑፍ
resolution	ልቀት
rising action	የትውስብ ማየል
role	ሚና 
romantic	ወሸነኔ (ዳ.ወ.)
round character	ውስብስብ ገፀባሕሪይ
S	
semi-Omniscient point of view	ከፊል ሁሉን አወቅ  አንፃር
sentence pattern	የአረፍተ ነገሮች አሰዳደር
sentiment	ተአማኒ ስሜት 
sentimentality	ኢ-ተአማኒ ስሜት
serial	ተከታታይ ታሪክ
setting	መቼት
short novel	መምጥን ልቦለድ
single effect	ነጠላ ውጤት 
static character	አይለወጤ ገፀ ባሕሪይ
stereotyped character	አሰልቺ ገፀባሕሪይ
story	ድርሰት
style	ስልት - ይትበሃል
sub-plot	ንዑስ ሴራ
surprise	ገርምት -ማስደነቅ
suspense	ልባንጠልጥልነት
T	
talent	ችሎታ -ተሰጥዖ
the god and the evil	ሠናይና እኩይ
theme	ጭብጥ
tragic	አሳዛኝ
tragic character	አሳ ገፀ ባሕሪይ
tragic irony	አሳዛኝ ምፀት
transition	ሽግግር
trite	ልሽቅ
type character 	ወኪል ገፀባሕሪይ
U	
universal	ሁለንተናዊ
utilitarian setting	መነሻ ደጀን
V	
vertical narration technique	ዋልተኛ ያልተራረክ ዘዴ
poetry -ሥነ-ግጥም	
A	
accent	ቅናትና ድፋት
accentuation	ጉላት
accidental symbol	አያያዥ  ተምሳሌት
alliteration figurative language	ቃለ አምሳያ  ዘይቤ
antithesis F.L	ተቃራኒ ዘይቤ 
aphorismF.L	ምሳሌ -እውነታ ዘይቤ 
apostrophe F.L	እንቶኔ ዘይቤ
archaism	ኋላቀር ብሂል (መጠቀም)
assonance	የመሰል አናባቢ ድግግሞሽ
B  	
bathos F.L	አጉቤ ዘይቤ
beat	ምት
blank verse, Free verse	ስድ ግጥም
C	
caesura	አረፍት
canto	የተራኪ ግጥም አብይ ክፍሎች
cliché	ልሽቅ
climax F.L	ባጠኛ ዘይቤ
connotative meaning	ፍካሬያዊ ፍቺ
content	ይዘት
conventional symbol	ተለዷዊ ተምሳሌት
couplet	ባለ 2 ስንኝ
D	
denotative meaning	እማሬያዊ ፍቺ
diction	የቀቃል ምርጫ
deductive verse	ትምህርታዊ ግጥም
dissonance	ጠያፍ አንጋር
dramatic poetry	ተውኔታዊ ገግጥም
E	
eclougue, pastoral	የእረኛ ግጥም
elegy, dirge	የሙሾ ግጥም
epic	ጀጋኝ ተራኪ ግጥም
epigram	ጥዩቅ አጭር ግጥም
epitaph	የሐውልት ግጥም 
epithalamium	ሙሽሪት ሙሽራው ግጥም
euphemism F.L	አይጎርብጤ ዘይቤ
F	
figurative language (F.L.)	ዘይቤያዊ አነጋገር (ብሂል)
figures of comparison	አወዳደሪ ዘይቤዎች
figures of contrast	አነፃፃሪ ዘይቤዎች
foot	ሐረግ
form	ቅርፅ
H	የጀግንነት ግጥም 
heroic verse	ሉዓላዊ ቋንቋ
heightened language	ግነት ዘይቤ
Hyperbole F.L	
I	
idyll	አገር ቤቴ ግጥም
image	ምስል
imagery	ምሰላዊ
images poetry	ምናባዊ ሰነ-ግጥም
imagination	ምናብ
inflated metaphor	ግንኛ ተለዋዋጭ
innuendo F.L	ሰላቅ ዘይቤ
invective	የግል ጥላቻ ሂስ
irony F.L	ምፀት ዘይቤ
J	
jargon	ጥኑን ቋንቋ
L  	
lament	የሀዘን እንጉርሮ ግጥም
legal repetition	ሕጋዊ ድግግሞሽ (ቃላት፤ስንኛ)
line	የስንኛ ዘለላ
lyric-poem	መውድስ ግጥም
M	
metaphor ( F.L.)	ተለዋጭ ዘይቤ
meters	ሰንኛ ምጣኔ (በቀለማት)
muse	የድርሰት አድባር
N	
narrative verse	ተራኪ ግጥም
O	
occasional verse	ሰለምንተ ግጥም
octave	ባለ 8 ሰንኛ አነጎ
ode	ሰለኔ ግጥም
onomatopoeia F.L	ድምፀ-ቀድ ዘይቤ
P 	
